Component,Purpose,Backend/Tech,Main Route
Email System 1,Mail.com SMTP Integration - set 1,SMTP,/send-invoice-1
Quote Builder 1,PDF + Email - set 1,WeasyPrint,/generate-quote-1
Invoice System 1,PDF + Scheduler - set 1,Custom,/generate-invoice-1
Client CRM 1,"Contact, project tracking - set 1",SQL,/clients-1
Staff CRM 1,"Roles, hours - set 1",SQL,/staff-1
Scheduler 1,Calendar with FullCalendar.js - set 1,JSON API,/calendar-1
Notifications 1,Toast + Mail/SMS - set 1,MailerLite/Twilio,/notifications-1
Checklist 1,Job-specific tasks - set 1,SQL,/jobs/:id/checklist-1
Inventory 1,Material tracking - set 1,SQL,/inventory-1
Financial Reports 1,"P&L, tax, forecasting - set 1",SQL,/reports-1
Client Portal 1,"Quotes, Invoices - set 1",Session/JWT,/portal/:clientId-1
Staff Portal 1,Job toolkit - set 1,PIN Access,/portal/:staffId-1
Data Tools 1,Upload/export CSV - set 1,Pandas,/data/upload-1
Services 1,Manage service templates - set 1,SQL,/services-1
Analytics 1,Growth & revenue - set 1,Plotly,/analytics-1
User Control 1,"Permissions, roles - set 1",Flask-Login,/admin/users-1
Photo Uploads 1,Before/after images - set 1,Cloud storage,/job/:id/photos-1
Email System 2,Mail.com SMTP Integration - set 2,SMTP,/send-invoice-2
Quote Builder 2,PDF + Email - set 2,WeasyPrint,/generate-quote-2
Invoice System 2,PDF + Scheduler - set 2,Custom,/generate-invoice-2
Client CRM 2,"Contact, project tracking - set 2",SQL,/clients-2
Staff CRM 2,"Roles, hours - set 2",SQL,/staff-2
Scheduler 2,Calendar with FullCalendar.js - set 2,JSON API,/calendar-2
Notifications 2,Toast + Mail/SMS - set 2,MailerLite/Twilio,/notifications-2
Checklist 2,Job-specific tasks - set 2,SQL,/jobs/:id/checklist-2
Inventory 2,Material tracking - set 2,SQL,/inventory-2
Financial Reports 2,"P&L, tax, forecasting - set 2",SQL,/reports-2
Client Portal 2,"Quotes, Invoices - set 2",Session/JWT,/portal/:clientId-2
